top100,county_name,city,province,year,registered_pop_10k,gdp_10k,savings_10k,fiscal_rev_10k,fiscal_exp_10k,primary_industry_va_10k,secondary_industry_va_10k,tertiary_industry_va_10k,loans_10k,GDP,lngdp,cz,jr,cy
1,海门市,南通市,江苏省,2010,99.86,5001041,3619791,312665,341331,372900,3019515,1608587,2855578,50080.52273,10.82138744,0.916017004,1.294804222,0.603777294
0,涟水县,淮安市,江苏省,2010,109.35,1574500,758323,106804,250438,418900,650500,505100,728659,14398.71971,9.574894572,0.426468827,0.94441537,0.413147031
0,溧水区,南京市,江苏省,2010,41.33,2501594,756257,200168,259800,223806,1566000,711794,1000008,60527.31672,11.01085006,0.770469592,0.702058368,0.626000862
1,溧阳市,常州市,江苏省,2010,78.15,4246600,2629798,290028,334681,301800,2440300,1504500,2991071,54339.09149,10.90299916,0.866580415,1.323616305,0.574647954
0,滨海县,盐城市,江苏省,2010,117.6,1981600,705900,145206,278981,410900,848700,722000,799800,16850.34014,9.732126122,0.520487058,0.759840533,0.42829027
0,灌云县,连云港市,江苏省,2010,100.26,1501300,647709,164685,288577,409900,698800,392600,631374,14974.06742,9.614075146,0.570679576,0.851983614,0.465463265
0,灌南县,连云港市,江苏省,2010,76.16,1400800,424309,181830,304427,291900,703700,405200,418789,18392.85714,9.819717669,0.597286049,0.601868932,0.502355797
0,盱眙县,淮安市,江苏省,2010,77.03,1542500,592886,138348,225577,302100,710500,529900,854929,20024.66571,9.904720078,0.613307208,0.938615883,0.460615883
0,睢宁县,徐州市,江苏省,2010,133.12,2001000,1065322,129388,284511,423600,857000,720400,808866,15031.55048,9.617906636,0.454773278,0.936625687,0.428285857
0,赣榆区,连云港市,江苏省,2010,112.62,2230700,850302,183999,330259,366400,1095600,768700,987158,19807.31664,9.893806676,0.55713546,0.823714529,0.491146277
1,通州区,南通市,江苏省,2010,124.64,5079983,3956610,338858,415348,404000,2958912,1717050,3064707,40757.24487,10.61538889,0.815841174,1.382153641,0.582464941
0,邳州市,徐州市,江苏省,2010,178.62,3653900,1195898,230985,411118,595800,1607500,1450600,1241637,20456.27589,9.926045004,0.561845991,0.667105011,0.439940885
1,金坛区,常州市,江苏省,2010,54.9,3082800,1789984,180280,221616,219700,1737100,1126000,1936416,56153.00546,10.93583548,0.813479171,1.208771247,0.563481251
0,金湖县,淮安市,江苏省,2010,35.94,985500,517219,87529,161627,169400,431600,384500,719662,27420.70117,10.21905352,0.54154937,1.255079655,0.437950279
0,阜宁县,盐城市,江苏省,2010,109.64,2061600,1035300,164499,331497,377300,979400,704900,1020000,18803.35644,9.841790667,0.496230735,0.996944121,0.475067908
1,靖江市,泰州市,江苏省,2010,66.82,4410000,2347208,368898,329961,148300,2537800,1723900,2954121,65998.20413,11.09738281,1.118004855,1.20211542,0.575464853
0,高淳区,南京市,江苏省,2010,42.72,2472591,736350,135008,191374,234596,1412900,825091,992378,57879.00281,10.96610995,0.705466782,0.699156472,0.571424874
0,高邮市,扬州市,江苏省,2010,82.08,2558100,1515854,144158,232019,443800,1275400,838900,1225460,31165.93567,10.34708097,0.621319806,1.071621125,0.49857316
1,东台市,盐城市,江苏省,2011,113.4,4479234,2670070,359200,537016,714934,2054300,1710000,2097810,39499.41799,10.58404122,0.668881374,1.064440929,0.458627524
0,东海县,连云港市,江苏省,2011,116.24,2456700,1033104,235008,433497,454200,1164400,838100,1100246,21134.72127,9.958672525,0.542121399,0.868380348,0.473969146
0,丰县,徐州市,江苏省,2011,115.08,1906100,1038767,196600,403976,402834,869800,633500,848770,16563.26034,9.714942289,0.486662574,0.990261266,0.456324432
1,丹阳市,镇江市,江苏省,2011,81.29,7249000,3139591,411318,436416,388000,4002000,2859000,4651783,89174.56022,11.39835108,0.942490651,1.074820527,0.552076148
1,仪征市,扬州市,江苏省,2011,56.62,3334065,1722226,205806,323035,177065,1961900,1195100,1427984,58884.93465,10.98334056,0.637101243,0.944855604,0.588440837
0,六合区,南京市,江苏省,2011,89.35,6990200,2883100,430243,539900,384900,5037300,1568000,3593400,78233.91158,11.26745848,0.796893869,0.926511402,0.720623158
1,兴化市,泰州市,江苏省,2011,157.3,4594706,2348807,255640,493635,741806,2028300,1824600,2318826,29209.82835,10.28226052,0.517872517,1.015871962,0.441442826
1,句容市,镇江市,江苏省,2011,58.91,2918916,1464224,205008,309249,275616,1578600,1064700,1668629,49548.73536,10.81071202,0.662922111,1.073293305,0.540817207
1,启东市,南通市,江苏省,2011,112.41,5201681,4061126,440716,532719,559581,2771100,1871000,3227786,46274.18379,10.7423395,0.827295441,1.401260862,0.53273163
1,吴江区,苏州市,江苏省,2011,80.18,11922827,5556569,1128772,1080593,309727,6994800,4618300,12133256,148700.7608,11.90969125,1.044585704,1.483693842,0.586672943
0,响水县,盐城市,江苏省,2011,61.57,1611600,514043,170057,262384,325010,796200,490400,754182,26175.08527,10.17256329,0.648122599,0.786935344,0.494043187
1,大丰区,盐城市,江苏省,2011,72.53,3469600,1660209,300666,414375,579000,1533900,1356700,1650663,47836.7572,10.7755496,0.72558914,0.954251787,0.442097072
1,太仓市,苏州市,江苏省,2011,47.04,8675326,3254137,854061,805089,308826,4857200,3509300,7494936,184424.4473,12.12499516,1.060828058,1.239039663,0.559886741
1,如东县,南通市,江苏省,2011,104.75,4254500,2967426,253906,424067,504966,2231300,1518200,2135394,40615.75179,10.61191125,0.598740293,1.199393583,0.524456458
1,如皋市,南通市,江苏省,2011,142.26,5206698,3704019,456307,605433,469898,2888200,1848600,2915440,36599.87347,10.50780006,0.753687031,1.271335307,0.55470857
0,姜堰区,泰州市,江苏省,2011,79.45,3640792,2187713,221874,305569,288892,1921700,1430200,2651305,45824.94651,10.73258391,0.726101142,1.329111358,0.527824715
1,宜兴市,无锡市,江苏省,2011,107.61,9803889,5468085,711968,757037,424800,5360200,4018900,9385006,91105.74296,11.41977612,0.940466582,1.515020315,0.546742216
0,宝应县,扬州市,江苏省,2011,91.42,2915300,1612511,343859,429914,497540,1394500,1023300,1561404,31889.08335,10.37001902,0.799832059,1.088709567,0.478338421
0,射阳县,盐城市,江苏省,2011,97.37,2879800,1123238,190100,358292,636574,1177800,1065400,1333492,29575.84472,10.29471325,0.530572829,0.853090492,0.408986735
1,常熟市,苏州市,江苏省,2011,106.72,17104538,8235701,1225011,1150183,336538,9380700,7387300,13191501,160274.9063,11.98464578,1.065057473,1.252720301,0.548433404
0,建湖县,盐城市,江苏省,2011,80.49,2887700,1333369,282508,445750,385061,1380200,1122400,1386980,35876.5064,10.48783794,0.633781268,0.942046958,0.477958237
1,张家港市,苏州市,江苏省,2011,90.79,18602816,6656161,1423188,1327723,250316,10980100,7372400,13091502,204899.3942,12.23027438,1.071901293,1.061541597,0.590238596
0,扬中市,镇江市,江苏省,2011,28.01,3000480,1645534,195958,221786,100080,1718200,1182200,1958215,107121.7422,11.58172124,0.8835454,1.201057497,0.572641711
